Nr,Rent_Namn,Målvakt,Nationalitet,Alias,Född,Avled,Klubb,Tid,Mat,Mål,Anteckningar
6353,"SANDBERG, ROGER",Nej,SWE,,1972-06-12,,HAMMARBY IF,1999-2001,40,0,
4263,"SANDBERG, ROLAND",Nej,SWE,,1939-08-17,2006-01-05,IFK GÖTEBORG,1964,4,0,
4856,"SANDBERG, ROLAND",Nej,SWE,,1946-12-16,,ÅTVIDABERGS FF,1970-1973,71,52,
4856,"SANDBERG, ROLAND",Nej,SWE,,1946-12-16,,KALMAR FF,1979-1980,43,12,
8512,"SANDBERG, SIMON",Nej,SWE,,1994-03-25,,BK HÄCKEN,2013-2023,85,2,
8512,"SANDBERG, SIMON",Nej,SWE,,1994-03-25,,HAMMARBY IF,2018-2022,122,1,
3626,"SANDBERG, SIVERT",Nej,SWE,,1931-02-19,1995-09-21,JÖNKÖPINGS SÖDRA IF,1954,6,0,"HUSQV 55,ANEBY 62,HUSQ 63"
2898,"SANDBERG, SIXTEN",Nej,SWE,KRITAS,1919-09-26,1991-08-24,DJURGÅRDENS IF,1946-1947,17,5,
2104,"SANDBERG, ÅKE",Ja,SWE,POLO JOE,1919-08-01,2009-01-26,IF ELFSBORG,1939-1949,216,0,
2104,"SANDBERG, ÅKE",Ja,SWE,POLO JOE,1919-08-01,2009-01-26,AIK,1950-1951,11,0,
7858,"SANDBERG MAGNUSSON, ANTON",Nej,SWE,,1993-08-27,,IF BROMMAPOJKARNA,2013,7,0,
8004,"SANDBERG-MAGNUSSON, GUSTAV",Nej,SWE,,1992-02-03,,IF BROMMAPOJKARNA,2009-2023,97,8,
3633,"SANDBRING, SUNE",Nej,SWE,GRUS,1928-04-10,2021-10-01,MALMÖ FF,1950-1958,153,0,
1569,"SANDEGREN, KNUT",Nej,SWE,BASKEN,1902-03-27,1996-08-09,ÖRGRYTE IS,1926-1927,24,0,
5913,"SANDELL, FREDRIK",Nej,SWE,,1972-12-24,,TRELLEBORGS FF,1992-1998,103,24,
5132,"SANDELL, JÖRGEN",Nej,SWE,,1957-03-03,,HAMMARBY IF,1981-1985,33,2,
3634,"SANDELL, NILS-ÅKE",Nej,SWE,KAJAN,1927-02-05,1992-05-29,MALMÖ FF,1953-1958,72,64,
2942,"SANDELL, THORE",Nej,SWE,,1920-07-02,2004-05-12,MALMÖ FF,1942,1,0,
3640,"SANDELL, TORE",Nej,SWE,,1925-06-19,1997-08-03,NORRBY IF,1956,22,0,
4837,"SANDER, MIKAEL",Nej,SWE,,1956-10-06,,LANDSKRONA BoIS,1974-1975,6,0,
2154,"SANDERSSON, OSCAR",Nej,SWE,,1913-05-11,1988-06-21,ÖRGRYTE IS,1937,4,0,FR GAIK 3608
2905,"SANDGREN, ARNE",Nej,SWE,,1918-06-02,1987-12-14,IF ELFSBORG,1941-1943,20,0,EJ 210409
4275,"SANDGREN, BORIS",Nej,SWE,,1946-10-11,2019-04-28,JÖNKÖPINGS SÖDRA IF,1969,2,0,
2929,"SANDIN, HARRY",Nej,SWE,HAJJE,1927-02-10,1990-10-27,HELSINGBORGS IF,1947,1,0,
2929,"SANDIN, HARRY",Nej,SWE,HAJJE,1927-02-10,1990-10-27,RÅÅ IF,1952,1,0,
3643,"SANDIN, HERBERT",Nej,SWE,,1928-03-16,2007-12-27,IFK NORRKÖPING,1951-1958,174,66,
1562,"SANDIN, NILS",Nej,SWE,,1903-03-24,1963-01-16,IFK NORRKÖPING,1926-1927,7,1,
2891,"SANDIN, SIGVARD",Nej,SWE,SIGGE,1922-05-18,1957-09-15,AIK,1942-1943,4,0,
6635,"SANDKLEF, MIKAEL",Nej,SWE,,1973-07-03,,VÄSTRA FRÖLUNDA IF,1998-1999,46,5,
6635,"SANDKLEF, MIKAEL",Nej,SWE,,1973-07-03,,IFK GÖTEBORG,2000-2005,102,8,
6635,"SANDKLEF, MIKAEL",Nej,SWE,,1973-07-03,,GAIS,2006,9,0,
7297,"SANDQVIST, JONAS",Ja,SWE,,1981-05-06,,LANDSKRONA BoIS,2003-2005,57,0,
7297,"SANDQVIST, JONAS",Ja,SWE,,1981-05-06,,MALMÖ FF,2006-2009,78,0,
7297,"SANDQVIST, JONAS",Ja,SWE,,1981-05-06,,ÖREBRO SK,2012,16,0,
1547,"SANDSTRÖM, HERBERT",Nej,SWE,,1900-11-11,1986-01-15,IFK GÖTEBORG,1925-1926,15,1,
6148,"SANDSTRÖM, PATRIK",Nej,SWE,,1970-10-07,,IFK NORRKÖPING,1994-1996,58,6,
6148,"SANDSTRÖM, PATRIK",Nej,SWE,,1970-10-07,,ÖRGRYTE IS,1999-2001,29,0,
4255,"SANDSTRÖM, ROLAND",Nej,SWE,,1935-06-09,,IF ELFSBORG,1961-1962,19,1,FR MARKARYD
4255,"SANDSTRÖM, ROLAND",Nej,SWE,,1935-06-09,,IS HALMIA,1963,22,2,
6363,"SANDVÄRN, ERIK",Nej,SWE,,1975-09-04,,UMEÅ FC,1996,5,0,
5559,"SANKALA, MIKA",Nej,FIN,,1964-11-16,,GIF SUNDSVALL,1987-1989,16,0,
7410,"SANTIN, CESAR",Nej,BRA,,1981-02-24,,KALMAR FF,2004-2014,116,31,
6844,"SANTOS, ALVARO",Nej,BRA,ALVARO MARCIO DOS SANTOS,1980-01-30,,HELSINGBORGS IF,2000-2014,131,45,
6844,"SANTOS, ALVARO",Nej,BRA,ALVARO MARCIO DOS SANTOS,1980-01-30,,ÖRGRYTE IS,2009,19,10,
6844,"SANTOS, ALVARO",Nej,BRA,ALVARO MARCIO DOS SANTOS,1980-01-30,,GAIS,2011,16,6,
8359,"SANTOS, BRUNO",Nej,BRA,,1983-08-31,,IFK NORRKÖPING,2011,7,0,
7819,"SANTOS, RICARDO",Nej,BRA,,1987-02-13,,KALMAR FF,2007-2011,80,22,R.HENRIQUE DA SILVA DOS S
7819,"SANTOS, RICARDO",Nej,BRA,,1987-02-13,,DJURGÅRDENS IF,2012,14,3,
7819,"SANTOS, RICARDO",Nej,BRA,,1987-02-13,,ÅTVIDABERGS FF,2013-2014,40,18,
8543,"SANTOS KOPPE, IGOR",Nej,BRA,,1992-03-31,,SYRIANSKA FC,2013,3,0,
7677,"SARAIVA, MARCIO",Nej,BRA,,1981-06-20,,AIK,2006,5,0,MARCIO COSTA SARAIVA
7159,"SARAJÄRVI, JANI",Nej,FIN,,1979-09-09,,IFK NORRKÖPING,2002,14,0,
9219,"SARFO, KINGSLEY",Nej,GHA,,1995-02-13,,IK SIRIUS,2017,11,3,
9219,"SARFO, KINGSLEY",Nej,GHA,,1995-02-13,,MALMÖ FF,2017,8,2,
7073,"SARKIS, EDER",Nej,SWE,,1986-08-13,,IF ELFSBORG,2005,1,0,"BR MOLLAR, F I SYR"
9482,"SARKODIE, KOFI",Nej,USA/GHA,,1991-03-22,,TRELLEBORGS FF,2018,11,0,
9559,"SARR, AMIN",Nej,SWE,,2001-03-11,,MALMÖ FF,2020-2021,20,1,
9559,"SARR, AMIN",Nej,SWE,,2001-03-11,,MJÄLLBY AIF,2021,19,8,
3605,"SARWE, BENGT",Nej,SWE,,1935-03-11,,DEGERFORS IF,1954-1956,10,1,
7505,"SASCHENKA, DZIANIS",Nej,BLR,,1981-10-03,,HALMSTADS BK,2005,11,0,EL. SASJTJEKA
7542,"SAUSO, JUKKA",Nej,FIN,,1982-06-20,,ÖRGRYTE IS,2005-2006,37,1,
4590,"SAVAGE, DEMBA",Nej,GAM,,1988-06-17,,BK HÄCKEN,2016,19,3,
4799,"SAVERSTAM, PETER",Nej,SWE,,1954-06-26,,AIK,1974-1975,4,0,UTV SPA
5035,"SAWERMAN, LEIF",Nej,SWE,,1959-07-14,,ÖREBRO SK,1978,2,0,
8979,"SAXTON, LLOYD",Ja,ENG,,1990-04-18,,GIF SUNDSVALL,2015-2019,6,0,
7695,"SCHAFFER, JOSÉ",Nej,ARG,,1985-12-16,,IFK GÖTEBORG,2006,3,0,JOSÉ ALBERTO
4285,"SCHENELL, LEIF",Nej,SWE,,1949-05-12,,ÅTVIDABERGS FF,1968-1970,8,0,FR EDSBRUKS IF
7546,"SCHEWELEFF, HENRI",Nej,FIN,,1983-04-15,,ÖRGRYTE IS,2005-2006,12,0,
2155,"SCHÉELE, HENRY",Nej,SWE,,1909-05-08,1977-08-19,REDBERGSLIDS IK,1931,2,0,MARIEHOLM
2155,"SCHÉELE, HENRY",Nej,SWE,,1909-05-08,1977-08-19,ÖRGRYTE IS,1934-1935,14,5,
5406,"SCHILLER, DENNIS",Nej,SWE,,1965-05-18,,IFK GÖTEBORG,1985-1986,6,0,
4935,"SCHILLER, GLENN",Nej,SWE,,1960-03-28,,IFK GÖTEBORG,1979-1985,125,16,
4935,"SCHILLER, GLENN",Nej,SWE,,1960-03-28,,DJURGÅRDENS IF,1986-1992,105,2,
5117,"SCHINKELS, FRANK",Nej,NED,,1963-01-09,,HALMSTADS BK,1981-1982,35,2,SEN ÖSTERRIKISK MEDB
2924,"SCHIRMER, OSCAR",Nej,SWE,NICKO,1907-03-22,1941-12-30,HAMMARBY IF,1940,5,0,
2915,"SCHMIDT, GÖSTA",Nej,SWE,,1924-01-09,2013-02-01,IFK GÖTEBORG,1943-1950,13,0,
1551,"SCHMÄGERS, HENRY",Nej,SWE,SMEGEN,1901-12-06,1966-05-11,HAMMARBY IF,1925,4,0,F GUSTAVSSON
1535,"SCHOUGH, ARVID",Nej,SWE,NEGUS,1908-04-17,1973-05-08,WESTERMALMS IF,1929,19,7,SEN HAMM 39
1535,"SCHOUGH, ARVID",Nej,SWE,NEGUS,1908-04-17,1973-05-08,DJURGÅRDENS IF,1937,14,6,
4248,"SCHRAMM, ULF",Nej,SWE,,1936-11-12,2021-12-20,DJURGÅRDENS IF,1960-1964,15,3,
5042,"SCHRÖDER, MATS",Nej,SWE,,1960-03-06,,ÖSTERS IF,1979,1,0,
3601,"SCHWARTZ, KARL",Nej,SWE,,1929-11-05,1993-12-27,AIK,1950,1,0,
3652,"SCHWARTZ, VILGOT",Nej,SWE,VILLE,1936-03-11,2019-01-26,ÖRGRYTE IS,1959-1967,182,1,HESTRAFORS 73.SLUT 74
5505,"SCHWARZ, STEFAN",Nej,SWE,,1969-04-18,,MALMÖ FF,1988-1990,29,0,
9037,"SCHÜLLER, RASMUS",Nej,FIN,,1991-06-18,,BK HÄCKEN,2016,18,1,
9037,"SCHÜLLER, RASMUS",Nej,FIN,,1991-06-18,,DJURGÅRDENS IF,2021-2023,72,2,
2913,"SCHÖN, ÅKE",Nej,SWE,,1920-04-16,1996-01-06,GAIS,1942-1943,17,0,
2904,"SCHÖNNING, ERIK",Nej,SWE,,1917-05-29,2006-12-19,IF ELFSBORG,1941-1945,45,17,FR SANDARED
2112,"SCHÖNNING, SIGFRID",Nej,SWE,,1913-01-15,2002-08-27,DJURGÅRDENS IF,1937,1,0,HANDBOLLSPELARE
2113,"SCHÖNWALL, OLLE",Nej,SWE,,1916-02-26,1982-09-06,DJURGÅRDENS IF,1937,1,0,
8989,"SEATON, MICHAEL",Nej,JAM,,1996-05-01,,ÖREBRO SK,2015,4,0,
6129,"SEFORT, PER",Nej,DAN,,1966-03-21,,LANDSKRONA BoIS,1994,19,1,
9741,"SEGER, DAVID",Nej,SWE,,1999-07-15,,ÖREBRO SK,2020-2021,56,4,
2916,"SEGERDAHL, STIG",Nej,SWE,,1924-01-21,2000-01-07,IFK GÖTEBORG,1949-1952,14,1,
6546,"SEGERSTRÖM, PONTUS",Nej,SWE,,1981-02-17,2014-10-13,LANDSKRONA BoIS,2005,24,2,
6546,"SEGERSTRÖM, PONTUS",Nej,SWE,,1981-02-17,2014-10-13,IF BROMMAPOJKARNA,2010-2014,61,3,
2132,"SEGERSTRÖM, ÅKE",Nej,SWE,,1910-08-31,1976-02-28,IS HALMIA,1933,2,0,
4289,"SEHLBERG, LARS-BÖRJE",Nej,SWE,,1947-03-18,,ÖREBRO SK,1966-1969,6,0,
6873,"SEIDOU, ADBEL",Nej,TOG,,1972-01-08,,ÖREBRO SK,2000,3,0,
1555,"SEIFERT, OSCAR",Nej,SWE,,1901-11-10,1985-06-18,IFK MALMÖ,1925-1926,38,6,
9998,"SEJDIU, PATRIOT",Nej,SWE,,2000-05-05,,MALMÖ FF,2022-2023,29,5,
6322,"SELAKOVIC, STEFAN",Nej,SWE,,1977-01-09,,HALMSTADS BK,1996-2013,147,42,
6322,"SELAKOVIC, STEFAN",Nej,SWE,,1977-01-09,,IFK GÖTEBORG,2005-2012,201,41,
4267,"SELANDER, HANS",Nej,SWE,,1945-03-15,2023-12-15,HELSINGBORGS IF,1963-1968,89,7,
4267,"SELANDER, HANS",Nej,SWE,,1945-03-15,2023-12-15,IK SIRIUS,1973-1974,45,11,
4267,"SELANDER, HANS",Nej,SWE,,1945-03-15,2023-12-15,HALMSTADS BK,1975-1981,166,17,
2305,"SELÉN, AXEL-CF/MV",Nej,SWE,,1912-06-16,1986-04-06,HALLSTAHAMMARS SK,1932,8,0,
9491,"SELLARS, JERELL",Nej,ENG,,1995-12-11,,ÖSTERSUNDS FK,2018-2021,35,2,
7637,"SELLIN, ROBBIN",Nej,SWE,,1990-04-12,,GIF SUNDSVALL,2012-2016,60,3,
1537,"SELLING, AUGUST",Nej,SWE,AGGE,1901-12-28,1980-11-11,AIK,1925-1928,28,0,
9726,"SELMANI, ASTRIT",Nej,SWE,,1997-05-13,,VARBERGS BOIS,2020,24,15,
9726,"SELMANI, ASTRIT",Nej,SWE,,1997-05-13,,HAMMARBY IF,2021-2022,39,11,
9726,"SELMANI, ASTRIT",Nej,SWE,,1997-05-13,,IFK GÖTEBORG,2023,12,0,
8344,"SELMANI, LIRIDON",Nej,SWE,,1992-06-12,,HALMSTADS BK,2011,3,0,
3625,"SELMOSSON, ARNE",Nej,SWE,MÅNSTRÅLEN,1931-03-29,2002-02-19,JÖNKÖPINGS SÖDRA IF,1951-1954,81,33,
9000,"SEMA, KEN",Nej,SWE,,1993-09-30,,ÖSTERSUNDS FK,2016-2018,58,8,
9000,"SEMA, KEN",Nej,SWE,,1993-09-30,,GIF SUNDSVALL,2018,24,7,
7941,"SEMA, MAIC",Nej,SWE,,1988-12-02,,HAMMARBY IF,2008-2009,15,0,
7941,"SEMA, MAIC",Nej,SWE,,1988-12-02,,ÖREBRO SK,2016-2017,55,12,
7941,"SEMA, MAIC",Nej,SWE,,1988-12-02,,GIF SUNDSVALL,2018-2019,40,9,
7941,"SEMA, MAIC",Nej,SWE,,1988-12-02,,IFK NORRKÖPING,2019-2023,78,5,
8223,"SENATORE, SEBASTIAN",Nej,SWE,,1985-12-17,,GEFLE IF,2010-2012,25,0,
7602,"SENFTEN, MARKUS",Nej,SWE,,1978-03-19,,PANOS LJUNGSKILE SK,2008,20,0,
7826,"SENOGLU, OLCAY",Nej,DAN/TUR,OLLIE,1984-05-10,,TRELLEBORGS FF,2007-2008,23,2,
2911,"SERNROS, BERTIL",Nej,SWE,JOHANSSON TID.,1921-04-20,1993-09-30,GAIS,1942-1955,263,16,
6714,"SESTAN, MATE",Nej,KRO,,1971-02-12,2023-03-30,HAMMARBY IF,1999,11,4,
5914,"SEVERIN, OLA",Nej,SWE,,1964-11-20,,TRELLEBORGS FF,1992-1995,92,11,
4821,"SEVESTEDT, GLENN",Ja,SWE,,1954-01-19,,GAIS,1974-1975,28,0,
6295,"SEYOUM, BENYAM",Nej,SWE,,1980-01-19,,HAMMARBY IF,1998,1,0,
7006,"SHAABAN, RAMI",Ja,SW/EG,,1975-06-30,,DJURGÅRDENS IF,2001-2002,11,0,
7006,"SHAABAN, RAMI",Ja,SW/EG,,1975-06-30,,HAMMARBY IF,2008-2009,21,0,
9139,"SHABANI, LAORENT",Nej,SWE,,1999-08-19,,IK SIRIUS,2020-2022,65,2,
9139,"SHABANI, LAORENT",Nej,SWE,,1999-08-19,,IFK NORRKÖPING,2022-2023,32,4,
7567,"SHALA, FISNIK",Nej,SWE,,1989-01-16,,TRELLEBORGS FF,2008-2011,26,1,
9749,"SHAMOUN, NOAH",Nej,SWE,,2002-12-08,,KALMAR FF,2021-2023,74,6,
7705,"SHELTON, LUTON",Nej,JAM,,1985-11-11,2021-01-22,HELSINGBORGS IF,2006,19,9,
9400,"SHER, AIMAR",Nej,SWE,,2002-12-20,,HAMMARBY IF,2019-2021,31,1,
7124,"SHULEMAJA, BESIM",Nej,SWE,,1981-04-25,,HALMSTADS BK,2002-2003,4,0,
5709,"SHUTT, CARL",Nej,ENG,,1961-10-10,,MALMÖ FF,1990,1,0,
9999,"SIBY, MAHAMÉ",Nej,MALI,,1996-07-07,,MALMÖ FF,2022-2023,3,0,
9938,"SICHENJE, COLLINS",Nej,KEN,,2003-09-19,,AIK,2022,8,0,
9803,"SIDKLEV, FILIP",Ja,SWE,,2005-03-12,,IF BROMMAPOJKARNA,2023,20,0,
6648,"SIGBJÖRNSSON, THORVALDUR",Nej,ISL,,1974-11-26,,ÖSTERS IF,1998,5,1,THORVALDUR MAKAN
5306,"SIGFRIDS, OLA",Nej,SWE,,1963-04-17,,IK BRAGE,1984-1986,10,0,
4846,"SIGFRIDSSON, GERT",Nej,SWE,,1946-09-30,,MALMÖ FF,1971,1,0,
1497,"SIGRELL, ÅKE",Nej,SWE,PLOCKIS,1911-11-01,1993-02-27,WESTERMALMS IF,1929,6,1,
1497,"SIGRELL, ÅKE",Nej,SWE,PLOCKIS,1911-11-01,1993-02-27,AIK,1930-1939,82,31,
1497,"SIGRELL, ÅKE",Nej,SWE,PLOCKIS,1911-11-01,1993-02-27,HAMMARBY IF,1940,4,0,
9578,"SIGTHORSSON, KOLBEINN",Nej,ISL,,1990-03-14,,AIK,2019-2020,35,3,
9578,"SIGTHORSSON, KOLBEINN",Nej,ISL,,1990-03-14,,IFK GÖTEBORG,2021,17,4,
8386,"SIGURBJÖRNSSON, EIDUR ARON",Nej,ISL,,1990-02-26,,ÖREBRO SK,2011-2015,35,1,
9223,"SIGURDSSON, ARNOR",Nej,ISL,,1999-05-15,,IFK NORRKÖPING,2017-2023,46,14,
7978,"SIGURDSSON, HANNES",Nej,ISL,,1983-04-10,,GIF SUNDSVALL,2008,25,6,
7978,"SIGURDSSON, HANNES",Nej,ISL,,1983-04-10,,MJÄLLBY AIF,2013,10,0,
9234,"SIGURDSSON, KRISTINN",Nej,ISL,,1991-12-25,,GIF SUNDSVALL,2017,27,1,
1638,"SIGURDSSON, RAGNAR",Nej,ISL,,1986-06-19,,IFK GÖTEBORG,2007-2011,125,12,
6235,"SIGURGEIRSSON, KRISTOFER",Nej,ISL,,1972-01-19,,VÄSTRA FRÖLUNDA IF,1995,1,0,
8976,"SIGURJONSSON, RUNAR MAR",Nej,ISL,,1990-06-18,,GIF SUNDSVALL,2015-2016,39,10,
7899,"SILFWER, PONTUS",Nej,SWE,,1991-08-14,,HALMSTADS BK,2017,12,1,
7899,"SILFWER, PONTUS",Nej,SWE,,1991-08-14,,GIF SUNDSVALL,2022,24,0,
7019,"SILJAK, ERMIN",Nej,SLN,,1973-05-11,,HAMMARBY IF,2001,4,0,
7013,"SILJANOSKI, JURICA",Nej,MAK,,1973-12-30,,IF ELFSBORG,2001-2003,35,3,
1584,"SILJEHOLM, OLLE",Nej,SWE,OLOV,1908-12-12,1978-10-16,IFK NORRKÖPING,1929-1930,15,0,
1584,"SILJEHOLM, OLLE",Nej,SWE,OLOV,1908-12-12,1978-10-16,IK SLEIPNER,1931-1932,4,1,
9043,"SILKA, LIRIDON",Nej,SWE,,1990-07-17,,JÖNKÖPINGS SÖDRA IF,2016,12,1,
8218,"SILLANPÄÄ, HENRI",Ja,FIN,,1979-06-04,,GAIS,2010-2012,32,0,
7135,"SILVA, REINALDO",Nej,BRA,,1980-02-04,,HELSINGBORGS IF,2002,1,0,R.JOSé ZACARIAS DA SILVA
9060,"SILVA, STEFAN",Nej,SWE,,1990-03-11,,GIF SUNDSVALL,2016,30,7,
9060,"SILVA, STEFAN",Nej,SWE,,1990-03-11,,AIK,2018-2021,28,1,
8502,"SILVERHOLT, OLIVER",Nej,SWE,,1994-06-22,,HALMSTADS BK,2013-2014,39,0,
8502,"SILVERHOLT, OLIVER",Nej,SWE,,1994-06-22,,HAMMARBY IF,2015-2016,16,0,
8502,"SILVERHOLT, OLIVER",Nej,SWE,,1994-06-22,,VARBERGS BOIS,2023,26,0,
8503,"SILVERHOLT, SIMON",Nej,SWE,,1993-06-17,,HALMSTADS BK,2013-2015,24,2,
9401,"SILVERHOLT, TAYLOR",Nej,SWE,,2001-04-04,,MJÄLLBY AIF,2020-2022,19,1,
6619,"SIMEUNOVIC, MILAN",Nej,MAK,,1967-05-14,,MALMÖ FF,1998-1999,14,0,
1576,"SIMONSON, ALEX",Nej,SWE,ALEXIS,1904-08-15,,GAIS,1928,2,0,EM USA
3651,"SIMONSSON, AGNE",Nej,SWE,,1935-10-19,2020-09-22,ÖRGRYTE IS,1959-1970,158,106,ÄNDR 1960 TILL 16 M
2937,"SIMONSSON, KARL",Nej,SWE,TIMPA,1919-01-18,1992-08-13,JÖNKÖPINGS SÖDRA IF,1946-1951,93,60,
8504,"SIMOVIC, ROBIN",Nej,SWE,,1991-05-29,,HELSINGBORGS IF,2013-2015,64,20,
8504,"SIMOVIC, ROBIN",Nej,SWE,,1991-05-29,,VARBERGS BOIS,2021-2022,44,10,
5824,"SIMPSON, PASCAL",Nej,VTY,PAGGE,1971-05-04,,AIK,1991-1997,161,48,SV MEDB 91
5824,"SIMPSON, PASCAL",Nej,VTY,PAGGE,1971-05-04,,HALMSTADS BK,2002,11,3,
6620,"SIMUNDZA, ANTE",Nej,SVN,,1971-09-28,,MALMÖ FF,1998,3,0,
9216,"SINGH, HARMEET",Nej,NOR,,1990-11-12,,KALMAR FF,2017,10,0,
6220,"SIPÖCZ, FERDINAND",Nej,SWE,,1971-01-07,,DJURGÅRDENS IF,1995,2,0,
9229,"SIRELIUS, IAN",Nej,SWE,,1987-10-28,,IK SIRIUS,2017-2019,56,5,
7935,"SISE, JOE",Nej,SWE,,1989-12-12,,HALMSTADS BK,2008-2011,58,11,
4278,"SIVNERT, ULF",Nej,SWE,,1945-03-17,,MALMÖ FF,1965-1966,14,2,
7349,"SIWE, TOM",Nej,SWE,,1987-03-02,,JÖNKÖPINGS SÖDRA IF,2016-2017,53,1,
6981,"SJANIC, SASA",Ja,SWE,,1986-02-18,,IFK NORRKÖPING,2008,1,0,EG ALEXANDR
6981,"SJANIC, SASA",Ja,SWE,,1986-02-18,,GEFLE IF,2014,5,0,
9686,"SJÖBERG, AXEL",Nej,SWE,,2000-04-12,,HAMMARBY IF,2020-2021,3,0,
4803,"SJÖBERG, BENGT",Nej,SWE,,1946-08-29,2006-12-21,BRYNÄS IF,1974,24,0,
3655,"SJÖBERG, BERNT-HI",Nej,SWE,BERSA,1928-04-23,2004-08-27,VÄSTERÅS SK,1956,6,0,
1582,"SJÖBERG, BERTIL",Nej,SWE,,1910-05-16,1985-07-11,ÖRGRYTE IS,1929-1930,24,7,
4276,"SJÖBERG, BO",Nej,SWE,,1940-02-09,2001-10-20,JÖNKÖPINGS SÖDRA IF,1960,14,4,
3649,"SJÖBERG, BÖRJE-VY",Nej,SWE,,1939-11-22,2017-04-07,VÄSTERÅS SK,1957,1,0,
2151,"SJÖBERG, EVERT",Nej,SWE,SKRATTET,1915-01-24,1999-06-02,ÖRGRYTE IS,1938-1939,21,0,"FR MASTH BK 38, GFF 39/40"
9619,"SJÖBERG, FILIP",Nej,SWE,,2000-04-12,,HELSINGBORGS IF,2019-2020,16,0,
1565,"SJÖBERG, GUNNAR",Nej,SWE,,1902-12-23,1970-02-02,VÄSTERÅS IK,1925,19,0,
2099,"SJÖBERG, GUSTAF",Ja,SWE,GURRA,1913-03-23,2003-10-03,AIK,1933-1950,321,0,
1539,"SJÖBERG, GÖSTA",Nej,SWE,GUSTAV,1897-11-16,1982-01-19,IK CITY,1926,21,1,
4296,"SJÖBERG, HANS",Nej,SWE,,1939-02-05,,SANDVIKENS IF,1961,11,1,
1541,"SJÖBERG, HELGE",Nej,SWE,,1905-03-20,1947-01-06,IK CITY,1926,4,2,
2306,"SJÖBERG, IVAR",Ja,SWE,IVAN DIXIE,1909-09-27,1989-12-25,IFK MALMÖ,1930,1,0,
4251,"SJÖBERG, JAN-ERIK",Nej,SWE,PRILLAN,1946-09-14,,DJURGÅRDENS IF,1965-1973,173,16,
4251,"SJÖBERG, JAN-ERIK",Nej,SWE,PRILLAN,1946-09-14,,LANDSKRONA BoIS,1974-1977,104,4,
6400,"SJÖBERG, JOHAN",Nej,SWE,,1980-11-14,,IF ELFSBORG,1999-2008,142,2,
6400,"SJÖBERG, JOHAN",Nej,SWE,,1980-11-14,,ÖRGRYTE IS,2009,2,0,
4830,"SJÖBERG, ROLF",Nej,SWE,PUTTE,1946-08-17,,HAMMARBY IF,1973-1974,6,0,
2909,"SJÖBERG, SVEN",Nej,SWE,,1913-01-17,1997-02-17,IFK ESKILSTUNA,1943,16,0,
2152,"SJÖBERG, TAGE",Nej,SWE,,1912-12-18,1995-12-07,ÖRGRYTE IS,1934,1,0,
4844,"SJÖBERG, THOMAS",Nej,SWE,,1952-07-06,,MALMÖ FF,1974-1982,180,80,
4828,"SJÖBERG, TOMAS",Nej,SWE,,1953-12-21,2021-08-08,HAMMARBY IF,1974-1977,52,9,
4828,"SJÖBERG, TOMAS",Nej,SWE,,1953-12-21,2021-08-08,ÖREBRO SK,1978,3,0,
2892,"SJÖBLOM, CARL",Nej,SWE,,1911-07-17,2007-11-17,AIK,1942,1,0,
4268,"SJÖBLOM, KENNETH",Nej,SWE,,1944-09-17,,IFK HOLMSUND,1967,20,9,
4268,"SJÖBLOM, KENNETH",Nej,SWE,,1944-09-17,,IS HALMIA,1979,3,0,
3617,"SJÖBLOM, SVEN",Nej,SWE,,1929-01-29,2012-02-23,IFK GÖTEBORG,1950-1955,79,17,CITY 58
3617,"SJÖBLOM, SVEN",Nej,SWE,,1929-01-29,2012-02-23,VÄSTERÅS SK,1956-1957,32,10,
4270,"SJÖDAHL, OLA",Nej,SWE,,1949-05-26,,HELSINGBORGS IF,1966-1968,8,0,
4270,"SJÖDAHL, OLA",Nej,SWE,,1949-05-26,,JÖNKÖPINGS SÖDRA IF,1969,15,3,
4964,"SJÖDAHL, OLLE",Nej,SWE,,1958-05-27,,HALMSTADS BK,1979,7,0,
4281,"SJÖDIN, LARS",Nej,SWE,,1947-03-07,2022-12-22,IK SIRIUS,1969,11,3,"FR DOMSJÖ, SEN OPE"
6822,"SJÖFORS, SIMON",Nej,SWE,,1973-07-08,,GAIS,2000,24,3,
9916,"SJÖGRELL, HERMAN",Nej,SWE,,2001-05-08,,IK SIRIUS,2021-2023,23,1,
3654,"SJÖGREN, BENGT",Nej,SWE,,1925-01-14,1997-10-13,SANDVIKENS IF,1954-1958,71,35,AVESTA AIK TR 58-
4798,"SJÖGREN, BO",Nej,SWE,,1948-09-27,1988-07-25,AIK,1972-1976,48,8,
1082,"SJÖGREN, HUGO",Nej,SWE,HUGGE,1905-10-29,1973-08-02,AIK,1926-1937,143,2,
4988,"SJÖGREN, JAN",Nej,SWE,SMOLLA,1956-12-12,,MALMÖ FF,1978,1,0,
4988,"SJÖGREN, JAN",Nej,SWE,SMOLLA,1956-12-12,,TRELLEBORGS FF,1985,22,0,
4857,"SJÖGREN, LARS",Nej,SWE,,1955-05-04,,ÅTVIDABERGS FF,1976-1979,13,1,
5612,"SJÖGREN, LENNART",Nej,SWE,,1965-11-21,,ÖREBRO SK,1989-1994,85,11,
7081,"SJÖHAGE, JOAKIM",Nej,SWE,,1986-09-27,,IF ELFSBORG,2004-2008,79,12,
7081,"SJÖHAGE, JOAKIM",Nej,SWE,,1986-09-27,,TRELLEBORGS FF,2009-2011,48,8,
